loss,master_output_loss,sub_output_loss,master_output_categorical_accuracy,sub_output_categorical_accuracy,val_loss,val_master_output_loss,val_sub_output_loss,val_master_output_categorical_accuracy,val_sub_output_categorical_accuracy
3.5439884662628174,0.9502754211425781,2.5937130451202393,0.6770833134651184,0.2744140625,3.9899184703826904,1.7267179489135742,2.263200283050537,0.5481770634651184,0.2942708432674408
2.0445899963378906,0.37703344225883484,1.6675567626953125,0.8628437519073486,0.5154258608818054,3.068272590637207,1.021339774131775,2.0469329357147217,0.5872395634651184,0.3828125
1.7718193531036377,0.27899813652038574,1.4928209781646729,0.9024145007133484,0.5724346041679382,2.2339718341827393,0.5435017347335815,1.6904700994491577,0.79296875,0.4947916567325592
1.468323826789856,0.21593289077281952,1.252390742301941,0.9205231666564941,0.6146881580352783,1.7418208122253418,0.3240569531917572,1.4177638292312622,0.9036458134651184,0.6067708134651184
1.3621526956558228,0.18775427341461182,1.1743983030319214,0.9322602152824402,0.6421864628791809,1.55037260055542,0.2586335837841034,1.2917391061782837,0.9283854365348816,0.62890625
1.2187869548797607,0.15941131114959717,1.0593756437301636,0.9463447332382202,0.6757209897041321,1.372604250907898,0.2148798257112503,1.157724380493164,0.9401041865348816,0.6692708134651184
1.1130857467651367,0.1341017633676529,0.978983998298645,0.9503688812255859,0.7022132873535156,1.2920395135879517,0.1913512945175171,1.1006883382797241,0.9518229365348816,0.6796875
0.9968609809875488,0.11566835641860962,0.881192684173584,0.9624413251876831,0.7256874442100525,1.292326807975769,0.181370809674263,1.1109559535980225,0.9518229365348816,0.6640625
0.8778891563415527,0.08362513780593872,0.7942641377449036,0.9745137691497803,0.7545271515846252,1.103054165840149,0.14076264202594757,0.9622915387153625,0.9596354365348816,0.71875
0.8549449443817139,0.08999400585889816,0.7649510502815247,0.9698188900947571,0.7551978826522827,1.0752570629119873,0.1521253138780594,0.9231317043304443,0.9518229365348816,0.7239583134651184
0.7364460229873657,0.07874886691570282,0.6576970815658569,0.9741784334182739,0.7870556712150574,0.9066317677497864,0.11973127722740173,0.7869004607200623,0.9596354365348816,0.76171875
0.7556887269020081,0.08054368942975998,0.6751449704170227,0.976190447807312,0.7813547849655151,0.9029240608215332,0.13158145546913147,0.7713425755500793,0.9609375,0.7513020634651184
0.648113489151001,0.05673845112323761,0.5913749933242798,0.9835680723190308,0.81455397605896,0.9166409373283386,0.12974722683429718,0.7868937849998474,0.9622395634651184,0.75390625
0.605919361114502,0.05393538624048233,0.5519840121269226,0.9832327365875244,0.8185781240463257,0.9565479755401611,0.12006916850805283,0.8364787697792053,0.9609375,0.7486979365348816
0.5863056182861328,0.05656461417675018,0.5297410488128662,0.9828974008560181,0.8299798965454102,0.8569936752319336,0.1116875410079956,0.7453061938285828,0.9622395634651184,0.7604166865348816
0.48589667677879333,0.04627268761396408,0.43962395191192627,0.9849094748497009,0.8541247248649597,0.820720911026001,0.09971164911985397,0.7210091948509216,0.9674479365348816,0.7786458134651184
0.4736470878124237,0.04402611777186394,0.42962101101875305,0.9862508177757263,0.8568075299263,0.8348613381385803,0.10293634980916977,0.7319249510765076,0.9635416865348816,0.765625
0.44121307134628296,0.03439484164118767,0.406818151473999,0.9899396300315857,0.8678739070892334,0.8428940176963806,0.12090318650007248,0.7219908237457275,0.9609375,0.76953125
0.41582822799682617,0.04106792435050011,0.3747602701187134,0.9869215488433838,0.8789402842521667,0.8647601008415222,0.10179784148931503,0.7629621028900146,0.9635416865348816,0.7578125
0.39906859397888184,0.03302019461989403,0.3660484254360199,0.990274965763092,0.8832998275756836,0.8379871845245361,0.11423444747924805,0.7237527966499329,0.9609375,0.77734375
