loss,master_output_loss,sub_output_loss,master_output_categorical_accuracy,master_output_f1_m,master_output_precision_m,master_output_recall_m,sub_output_categorical_accuracy,sub_output_f1_m,sub_output_precision_m,sub_output_recall_m,val_loss,val_master_output_loss,val_sub_output_loss,val_master_output_categorical_accuracy,val_master_output_f1_m,val_master_output_precision_m,val_master_output_recall_m,val_sub_output_categorical_accuracy,val_sub_output_f1_m,val_sub_output_precision_m,val_sub_output_recall_m
2.1622087955474854,0.3889355957508087,1.7732727527618408,0.8612327575683594,0.8584479689598083,0.8751631379127502,0.8425390720367432,0.49208489060401917,0.4756668508052826,0.5976199507713318,0.3957812488079071,3.579657793045044,0.8103708624839783,2.769286870956421,0.67578125,0.6826484799385071,0.7581763863563538,0.62109375,0.2578125,0.21753859519958496,0.3002658188343048,0.1705729216337204
1.7222537994384766,0.27581503987312317,1.4464386701583862,0.8989558815956116,0.9006485939025879,0.9148975014686584,0.8869271278381348,0.5638262033462524,0.5628350973129272,0.6708202958106995,0.4854166507720947,2.340686559677124,0.5387649536132812,1.8019213676452637,0.8111979365348816,0.7823907732963562,0.8443781733512878,0.7291666865348816,0.4283854067325592,0.3369767963886261,0.5500025153160095,0.2434895783662796
1.5110291242599487,0.20879796147346497,1.3022310733795166,0.9242169260978699,0.925118625164032,0.9362516403198242,0.9143489003181458,0.6106433272361755,0.6178401112556458,0.7169565558433533,0.54359370470047,1.7344733476638794,0.33801794052124023,1.3964554071426392,0.8919270634651184,0.8876528143882751,0.9302032589912415,0.8489583134651184,0.56640625,0.44442781805992126,0.7146454453468323,0.3229166567325592
1.3674837350845337,0.1912834644317627,1.176200270652771,0.9336476922035217,0.931451141834259,0.9418249130249023,0.9213932156562805,0.6540923118591309,0.649314820766449,0.7325624823570251,0.5834765434265137,1.4383659362792969,0.24892164766788483,1.1894443035125732,0.9322916865348816,0.9308004379272461,0.9702926278114319,0.89453125,0.65625,0.5331164598464966,0.8830103278160095,0.3828125
1.2186490297317505,0.14750637114048004,1.071142554283142,0.9501515626907349,0.9497807025909424,0.9564063549041748,0.9432812333106995,0.6753115653991699,0.6743147969245911,0.7582959532737732,0.6076042056083679,1.374933123588562,0.21998286247253418,1.1549502611160278,0.9309895634651184,0.9373887181282043,0.9709319472312927,0.90625,0.6640625,0.5401637554168701,0.8777571320533752,0.390625
1.0609755516052246,0.13278540968894958,0.9281901717185974,0.9552037715911865,0.954481840133667,0.9619311690330505,0.9471874833106995,0.7123610377311707,0.7185438275337219,0.7933497428894043,0.6571614742279053,1.3161076307296753,0.18127866089344025,1.1348289251327515,0.9518229365348816,0.9510648846626282,0.9793787002563477,0.9244791865348816,0.66015625,0.5868091583251953,0.8600575923919678,0.4466145932674408
1.0434730052947998,0.13363398611545563,0.9098390936851501,0.9494779109954834,0.9475966095924377,0.9540268778800964,0.9412891268730164,0.7207813858985901,0.7137455940246582,0.7800495624542236,0.6580598950386047,1.0634957551956177,0.14378605782985687,0.9197097420692444,0.9518229365348816,0.9524843692779541,0.9652445316314697,0.9401041865348816,0.73046875,0.6764739155769348,0.8647200465202332,0.5559895634651184
0.9818872809410095,0.08692781627178192,0.894959568977356,0.9733917117118835,0.9742842316627502,0.9799206852912903,0.96875,0.722128689289093,0.7229349613189697,0.786873996257782,0.6689583659172058,1.0423364639282227,0.12795127928256989,0.9143851399421692,0.9609375,0.9623971581459045,0.9746318459510803,0.9505208134651184,0.7135416865348816,0.6859331130981445,0.8546697497367859,0.57421875
0.9083938002586365,0.09953384846448898,0.808860182762146,0.9676658511161804,0.9681002497673035,0.9714471697807312,0.9648046493530273,0.7463792562484741,0.7484281063079834,0.8109488487243652,0.6952864527702332,0.9771508574485779,0.1229618564248085,0.8541889786720276,0.9596354365348816,0.9589934349060059,0.9731366038322449,0.9453125,0.7356770634651184,0.7196024060249329,0.8512738347053528,0.6236979365348816
0.8678699135780334,0.09422220289707184,0.7736478447914124,0.9663186073303223,0.966144859790802,0.9698071479797363,0.9625260233879089,0.7460424304008484,0.7472363114356995,0.8034083247184753,0.6988281607627869,0.945669412612915,0.11338957399129868,0.8322798609733582,0.9622395634651184,0.9644106030464172,0.97600919008255,0.953125,0.75,0.7392727732658386,0.8561660647392273,0.6510416865348816
0.7989035844802856,0.07670170813798904,0.7222018241882324,0.9730548858642578,0.9746142029762268,0.9783005118370056,0.9709895253181458,0.7652408480644226,0.771138608455658,0.8219592571258545,0.7266536355018616,0.9044437408447266,0.11168348044157028,0.7927603721618652,0.9622395634651184,0.9657580852508545,0.9747471809387207,0.95703125,0.7630208134651184,0.7321348786354065,0.8458204865455627,0.6458333134651184
0.6903036832809448,0.05504883825778961,0.6352546811103821,0.9831593036651611,0.9831528663635254,0.9865400195121765,0.9798176884651184,0.7992590069770813,0.7972554564476013,0.8478789329528809,0.7526562809944153,0.897071123123169,0.1005207970738411,0.7965502738952637,0.96875,0.9679422974586487,0.9737512469291687,0.9622395634651184,0.7421875,0.7502381801605225,0.8440952897071838,0.67578125
0.6807680726051331,0.05887225642800331,0.6218956708908081,0.9814752340316772,0.9805380702018738,0.982961893081665,0.9781510233879089,0.807342529296875,0.8063206672668457,0.8561593890190125,0.7622135281562805,0.853228747844696,0.11370541900396347,0.7395233511924744,0.9596354365348816,0.9613035321235657,0.9683048725128174,0.9544270634651184,0.7513020634651184,0.7640694975852966,0.8443334102630615,0.6979166865348816
0.5936747789382935,0.048002690076828,0.5456721186637878,0.9838329553604126,0.9857905507087708,0.9885373115539551,0.9830729365348816,0.8221623301506042,0.822167158126831,0.8675475120544434,0.7819140553474426,0.8538123965263367,0.10929093509912491,0.7445213794708252,0.9609375,0.9652187824249268,0.9722800254821777,0.9583333134651184,0.7669270634651184,0.7706438899040222,0.8438208699226379,0.7096354365348816
0.5652469992637634,0.04414990916848183,0.5210971236228943,0.9872010946273804,0.9875982403755188,0.9895421862602234,0.9856770634651184,0.8312563300132751,0.8261645436286926,0.8657641410827637,0.7903776168823242,0.8866214156150818,0.0937713086605072,0.7928500175476074,0.9674479365348816,0.9691662192344666,0.9749472141265869,0.9635416865348816,0.7513020634651184,0.7664811015129089,0.8389735221862793,0.7057291865348816
